,eventname,EventLongName,coordinates
94,miltoncountry,Milton Country parkrun,"[0.161906, 52.236675]"
95,listerpark,"Lister Park parkrun, Bradford","[-1.775102, 53.814575]"
96,canterbury,Canterbury parkrun,"[1.057002, 51.299468]"
97,nonsuch,Nonsuch parkrun,"[-0.231078, 51.356926]"
98,sthelens,St Helens parkrun,"[-2.744088, 53.46322]"
99,royaltunbridgewells,Royal Tunbridge Wells parkrun,"[0.284851, 51.133614]"
100,sheptonmallet,Shepton Mallet parkrun,"[-2.542461, 51.187513]"
101,eastleigh,Eastleigh parkrun,"[-1.374032, 50.971433]"
102,boston,Boston parkrun,"[-0.038556, 52.990156]"
103,lincoln,Lincoln parkrun,"[-0.560904, 53.208848]"
104,pontefract,Pontefract parkrun,"[-1.325197, 53.697922]"
105,rosliston,Rosliston parkrun,"[-1.639681, 52.754526]"
106,crystalpalace,Crystal Palace parkrun,"[-0.065703, 51.419846]"
107,carlisle,Carlisle parkrun,"[-2.963455, 54.886025]"
108,whitleybay,Whitley Bay parkrun,"[-1.448736, 55.048875]"
109,aviemore,Aviemore parkrun,"[-3.818635, 57.205275]"
110,strathclyde,Strathclyde parkrun,"[-4.031425, 55.789631]"
111,camperdown,"Camperdown parkrun, Dundee","[-3.030896, 56.483681]"
112,minehead,Minehead parkrun,"[-3.469591, 51.207524]"
113,arrowvalley,Arrow Valley parkrun,"[-1.906573, 52.29362]"
114,waterworks,"Waterworks parkrun, Belfast","[-5.942613, 54.619299]"
115,peacehaven,Peacehaven parkrun,"[0.012418, 50.794092]"
116,bournemouth,Bournemouth parkrun,"[-1.832732, 50.73362]"
117,mansfield,Mansfield parkrun,"[-1.183844, 53.174034]"
118,brueton,Brueton parkrun,"[-1.764593, 52.406754]"
119,eglinton,Eglinton parkrun,"[-4.669662, 55.643935]"
120,northampton,Northampton parkrun,"[-0.884445, 52.248143]"
121,markeaton,Markeaton parkrun,"[-1.504769, 52.935408]"
122,valentines,Valentines parkrun,"[0.07198, 51.56749]"
123,oakhill,Oak Hill parkrun,"[-0.153744, 51.637718]"
124,greenock,Greenock parkrun,"[-4.767348, 55.956525]"
125,colchestercastle,Colchester Castle parkrun,"[0.902724, 51.89167]"
126,cannonhill,"Cannon Hill parkrun, Birmingham","[-1.89997, 52.452637]"
127,lloyd,"Lloyd parkrun, Croydon","[-0.079973, 51.364807]"
128,gunnersbury,Gunnersbury parkrun,"[-0.292253, 51.499405]"
129,burnhamoncrouch,Burnham-on-Crouch parkrun,"[0.810923, 51.627409]"
130,newbury,Newbury parkrun,"[-1.292267, 51.378426]"
131,warrington,Warrington parkrun,"[-2.574685, 53.384221]"
132,stonehaven,Stonehaven parkrun,"[-2.212502, 56.969993]"
133,worcester,Worcester parkrun,"[-2.178726, 52.186989]"
134,whitstable,Whitstable parkrun,"[1.041942, 51.365295]"
135,westmill,Westmill parkrun,"[-0.060813, 51.821422]"
136,falkirk,Falkirk parkrun,"[-3.766712, 55.99543]"
137,merthyr,Merthyr parkrun,"[-3.375658, 51.73896]"
138,bracknell,Bracknell parkrun,"[-0.776844, 51.390248]"
139,brierleyforest,Brierley Forest parkrun,"[-1.295214, 53.131155]"
140,harrogate,Harrogate parkrun,"[-1.521435, 53.992428]"
141,montrose,Montrose parkrun,"[-2.455223, 56.726297]"
142,lymingtonwoodside,Lymington Woodside parkrun,"[-1.54548, 50.747747]"
143,southnorwood,South Norwood parkrun,"[-0.059908, 51.396111]"
144,southport,Southport parkrun,"[-2.985341, 53.656276]"
145,wolverhampton,Wolverhampton parkrun,"[-2.140875, 52.588775]"
146,gloucesternorth,Gloucester North parkrun,"[-2.231707, 51.878304]"
147,perth,Perth parkrun,"[-3.435422, 56.40515]"
148,worcesterpitchcroft,Worcester Pitchcroft parkrun,"[-2.231964, 52.201513]"
149,newport,Newport parkrun,"[-3.030939, 51.559479]"
150,congleton,Congleton parkrun,"[-2.229795, 53.160781]"
151,wansteadflats,Wanstead Flats parkrun,"[0.014977, 51.56078]"
152,durham,Durham parkrun,"[-1.558852, 54.767605]"
153,poole,Poole parkrun,"[-1.968876, 50.720348]"
154,henleyonthames,Henley-on-Thames parkrun,"[-0.919288, 51.531978]"
155,derrycity,Derry City parkrun,"[-7.318933, 55.006966]"
156,killerton,Killerton parkrun,"[-3.455007, 50.792835]"
157,barnsley,Barnsley parkrun,"[-1.486115, 53.544369]"
158,riddlesdown,Riddlesdown parkrun,"[-0.079549, 51.318485]"
159,chester,Chester parkrun,"[-2.902368, 53.207796]"
160,kettering,Kettering parkrun,"[-0.710653, 52.384226]"
161,burystedmunds,Bury St Edmunds parkrun,"[0.730183, 52.224887]"
162,marketharborough,Market Harborough parkrun,"[-0.924979, 52.474487]"
163,rothwell,Rothwell parkrun,"[-1.473456, 53.750032]"
164,gateshead,Gateshead parkrun,"[-1.602094, 54.944733]"
165,standrews,St Andrews parkrun,"[-2.838234, 56.317711]"
166,nobles,Nobles parkrun,"[-4.480834, 54.166432]"
167,walsall,Walsall Arboretum parkrun,"[-1.966252, 52.58725]"
168,penningtonflash,Pennington Flash parkrun,"[-2.542745, 53.491608]"
169,pymmes,Pymmes parkrun,"[-0.066953, 51.61887]"
170,princes,"Princes parkrun, Liverpool","[-2.956975, 53.386456]"
171,huddersfield,Huddersfield parkrun,"[-1.800685, 53.650608]"
172,maesteg,Maesteg parkrun,"[-3.665573, 51.609499]"
173,longeaton,Long Eaton parkrun,"[-1.285853, 52.895155]"
174,uptonhouse,Upton House parkrun,"[-2.013428, 50.734891]"
175,medina,Medina I.O.W. parkrun,"[-1.285714, 50.71332]"
176,bolton,Bolton parkrun,"[-2.395615, 53.574715]"
177,edenproject,Eden Project parkrun,"[-4.74285, 50.358315]"
178,raphael,Raphael parkrun,"[0.19249, 51.585798]"
179,ferrymeadows,Ferry Meadows parkrun,"[-0.308132, 52.565563]"
180,maldonprom,Maldon Prom parkrun,"[0.68877, 51.726742]"
181,normanbyhall,Normanby Hall parkrun,"[-0.659924, 53.638407]"
182,billericay,Billericay parkrun,"[0.417446, 51.632966]"
183,winchester,Winchester parkrun,"[-1.310849, 51.069286]"
184,wycomberye,Wycombe Rye parkrun,"[-0.74009, 51.62337]"
185,stevenage,Stevenage parkrun,"[-0.17993, 51.902634]"
186,conkers,Conkers parkrun,"[-1.543021, 52.739475]"
187,barnstaple,Barnstaple parkrun,"[-4.053612, 51.072561]"
188,concord,"Concord parkrun, Sheffield","[-1.441612, 53.424007]"
189,abingdon,Abingdon parkrun,"[-1.277429, 51.667957]"
190,linfordwood,Linford Wood parkrun,"[-0.760168, 52.05864]"
191,gunpowder,Gunpowder parkrun,"[-0.000831, 51.676037]"
192,belfastvictoria,Belfast Victoria parkrun,"[-5.881573, 54.608785]"
193,sandwellvalley,Sandwell Valley parkrun,"[-1.97579, 52.521531]"
194,roundhay,Roundhay parkrun,"[-1.496007, 53.83828]"
195,horsham,Horsham parkrun,"[-0.348578, 51.022415]"
196,allypally,Ally Pally parkrun,"[-0.12233, 51.595936]"
197,wormwoodscrubs,Wormwood Scrubs parkrun,"[-0.238523, 51.520412]"
198,barrow,Barrow parkrun,"[-3.218855, 54.117706]"
199,thornbury,Thornbury parkrun,"[-2.530114, 51.606368]"
200,eastville,Eastville parkrun,"[-2.554304, 51.475453]"
201,hoblingwell,Hoblingwell parkrun,"[0.098847, 51.400981]"
202,wythenshawe,Wythenshawe parkrun,"[-2.288139, 53.405502]"
203,ecos,"Ecos parkrun, Ballymena","[-6.259117, 54.867371]"
204,kingslynn,King’s Lynn parkrun,"[0.407446, 52.752762]"
205,southwickcountrypark,Southwick Country parkrun,"[-2.234092, 51.306461]"
206,windynook,Windy Nook parkrun,"[-1.563025, 54.940189]"
207,hanley,Hanley parkrun,"[-2.175164, 53.012501]"
208,colneylane,Colney Lane parkrun,"[1.22519, 52.621317]"
209,troon,Troon parkrun,"[-4.670058, 55.541413]"
210,vogrie,Vogrie parkrun,"[-2.995012, 55.856879]"
211,southend,Southend parkrun,"[0.787526, 51.523431]"
212,sewerby,Sewerby parkrun,"[-0.160761, 54.103268]"
213,ayr,Ayr parkrun,"[-4.624316, 55.436189]"
214,mileend,Mile End parkrun,"[-0.033946, 51.518169]"
215,dulwich,Dulwich parkrun,"[-0.079206, 51.443869]"
216,stonehouse,Stonehouse parkrun,"[-2.287804, 51.752554]"
217,chippenham,Chippenham parkrun,"[-2.113119, 51.460469]"
218,bressay,Bressay parkrun,"[-1.119683, 60.158081]"
219,queens,"Queen’s parkrun, Belfast","[-5.963387, 54.555092]"
220,falls,"Falls parkrun, Belfast","[-5.978879, 54.586363]"
221,worsleywoods,Worsley Woods parkrun,"[-2.359056, 53.494328]"
222,sedgefield,Sedgefield parkrun,"[-1.466289, 54.653008]"
223,houghtonhall,Houghton Hall parkrun,"[-0.510046, 51.90155]"
224,redcar,Redcar parkrun,"[-1.07902, 54.615225]"
225,livingston,Livingston parkrun,"[-3.518828, 55.886797]"
226,gadebridge,Gadebridge parkrun,"[-0.473542, 51.758909]"
227,netleyabbey,Netley Abbey parkrun,"[-1.334453, 50.865345]"
228,marple,Marple parkrun,"[-2.056509, 53.404476]"
229,portrush,Portrush parkrun,"[-6.648788, 55.204638]"
230,graves,Graves parkrun,"[-1.464657, 53.338906]"
231,wallace,"Wallace parkrun, Lisburn","[-6.036816, 54.516511]"
232,tilgate,Tilgate parkrun,"[-0.175623, 51.097]"
233,beckton,Beckton parkrun,"[0.046542, 51.51176]"
234,brynbach,Bryn Bach parkrun,"[-3.269548, 51.781621]"
235,burnley,Burnley parkrun,"[-2.221555, 53.77834]"
236,blackhill,Blackhill parkrun,"[-1.842366, 54.858315]"
237,riverside,Riverside parkrun,"[-1.563277, 54.853983]"
238,citypark,"Citypark parkrun, Craigavon","[-6.386002, 54.451093]"
239,dewsbury,Dewsbury parkrun,"[-1.646237, 53.688239]"
240,gladstone,Gladstone parkrun,"[-0.228223, 51.556982]"
241,crane,Crane Park parkrun,"[-0.372075, 51.441168]"
242,hillyfields,Hilly Fields parkrun,"[-0.025019, 51.460143]"
243,burgess,Burgess parkrun,"[-0.081024, 51.484536]"
244,stewart,"Stewart parkrun, Middlesbrough","[-1.203561, 54.53809]"
245,darlingtonsouthpark,Darlington South Park parkrun,"[-1.560531, 54.51484]"
246,orpington,Orpington parkrun,"[0.117224, 51.365283]"
247,barking,Barking parkrun,"[0.087312, 51.545894]"
248,aliceholt,Alice Holt parkrun,"[-0.836903, 51.16858]"
249,peterpan,Peter Pan parkrun,"[-0.402181, 53.73833]"
250,southshields,South Shields parkrun,"[-1.408052, 54.995687]"
251,goole,Goole parkrun,"[-0.891098, 53.710492]"
252,rushcliffe,Rushcliffe parkrun,"[-1.149104, 52.882497]"
253,burnage,Burnage parkrun,"[-2.209185, 53.407152]"
254,wotton,Wotton parkrun,"[-2.368786, 51.633149]"
255,homewood,Homewood parkrun,"[-0.539078, 51.366808]"
256,aberystwyth,Aberystwyth parkrun,"[-4.080401, 52.414546]"
257,woodley,Woodley parkrun,"[-0.903669, 51.45418]"
258,sheringham,Sheringham parkrun,"[1.180601, 52.928775]"
259,uptoncourt,Upton Court parkrun,"[-0.577525, 51.49616]"
260,chelmsfordcentral,Chelmsford Central parkrun,"[0.464945, 51.732577]"
261,harrowlodge,Harrow Lodge parkrun,"[0.200715, 51.555606]"
262,brockenhurst,Brockenhurst parkrun,"[-1.642492, 50.808103]"
263,linwood,Linwood parkrun,"[-4.505078, 55.854033]"
264,wimpoleestate,Wimpole Estate parkrun,"[-0.047207, 52.140442]"
265,delamere,Delamere parkrun,"[-2.68796, 53.239537]"
266,cheltenham,Cheltenham parkrun,"[-2.07824, 51.911754]"
267,aylesbury,Aylesbury parkrun,"[-0.838394, 51.83162]"
268,newent,Newent parkrun,"[-2.410056, 51.926515]"
269,hackworth,Hackworth parkrun,"[-1.644945, 54.628071]"
270,hartlepool,Hartlepool parkrun,"[-1.195128, 54.686937]"
271,telford,Telford parkrun,"[-2.447934, 52.67123]"
272,walthamstow,Walthamstow parkrun,"[-0.007854, 51.602666]"
273,huntingdon,Huntingdon parkrun,"[-0.213662, 52.330591]"
274,brandoncountrypark,Brandon Country Park parkrun,"[0.625877, 52.436339]"
275,thetford,Thetford parkrun,"[0.743766, 52.4156]"
276,llynllechowain,Llyn Llech Owain parkrun,"[-4.080563, 51.812913]"
277,templenewsam,Temple Newsam parkrun,"[-1.456461, 53.784781]"
278,southwark,Southwark parkrun,"[-0.053151, 51.494242]"
279,crichton,Crichton parkrun,"[-3.594589, 55.050773]"
280,scunthorpe,Scunthorpe parkrun,"[-0.656476, 53.581755]"
281,rotherham,Rotherham parkrun,"[-1.343218, 53.430538]"
282,rothervalley,Rother Valley parkrun,"[-1.320226, 53.341508]"
283,forestrec,Forest Rec parkrun,"[-1.159766, 52.965352]"
284,enniskillen,Enniskillen parkrun,"[-7.642293, 54.343834]"
285,crossflatts,Cross Flatts parkrun,"[-1.55757, 53.775754]"
286,hillsborough,Hillsborough parkrun,"[-1.501973, 53.408457]"
287,kingsburywater,Kingsbury Water parkrun,"[-1.698718, 52.561983]"
288,ganavansands,Ganavan Sands parkrun,"[-5.469021, 56.437766]"
289,pontypridd,Pontypridd parkrun,"[-3.339028, 51.602009]"
290,porthcawl,Porthcawl parkrun,"[-3.705976, 51.476331]"
291,didcot,Didcot parkrun,"[-1.239, 51.612792]"
292,clair,Clair parkrun,"[-0.100143, 51.004322]"
293,margate,Margate parkrun,"[1.403997, 51.39207]"
294,pegwellbay,Pegwell Bay parkrun,"[1.361446, 51.320957]"
295,chippingsodbury,Chipping Sodbury parkrun,"[-2.397165, 51.544366]"
296,newbigginbythesea,Newbiggin-by-the-Sea parkrun,"[-1.505386, 55.185215]"
297,prestonpark,"Preston Park parkrun, Brighton","[-0.148616, 50.841557]"
298,eastgrinstead,East Grinstead parkrun,"[0.001373, 51.129008]"
299,shornewoods,Shorne Woods parkrun,"[0.418618, 51.404426]"
300,musacookstown,MUSA Cookstown parkrun,"[-6.735656, 54.615093]"
301,tollcross,"Tollcross parkrun, Glasgow","[-4.179461, 55.847494]"
302,penallta,Penallta parkrun,"[-3.245679, 51.644889]"
303,queenelizabeth,Queen Elizabeth parkrun,"[-0.978384, 50.956372]"
304,clactonseafront,Clacton Seafront parkrun,"[1.142974, 51.781574]"
305,omagh,Omagh parkrun,"[-7.296222, 54.602837]"
306,newark,Newark parkrun,"[-0.81905, 53.070031]"
307,clumberpark,Clumber Park parkrun,"[-1.065717, 53.268022]"
308,workington,Workington parkrun,"[-3.539767, 54.647169]"
309,seaton,Seaton parkrun,"[-3.072064, 50.703349]"
310,canonspark,Canons Park parkrun,"[-0.296184, 51.612291]"
311,ormeau,Ormeau parkrun,"[-5.914786, 54.588374]"
312,antrim,Antrim parkrun,"[-6.238818, 54.717078]"
313,sheffieldcastle,Sheffield Castle parkrun,"[-1.436827, 53.366782]"
314,osterley,Osterley parkrun,"[-0.349889, 51.489403]"
315,skipton,Skipton parkrun,"[-2.030004, 53.961331]"
316,shrewsbury,Shrewsbury parkrun,"[-2.75921, 52.706942]"
